22|N11375788768|18.5484079|73.8289722|IT cell
22|N11375798469|18.5480567|73.8273208|Geography department
22|N11375798470|18.5504583|73.8269321|English, hindi, marathix Department
22|N11375798471|18.5462183|73.8297842|Microbiology Department
22|N11375798472|18.5471660|73.8299225|Pune University MBA(PUMBA)
22|N11375798473|18.5569168|73.8277317|Department of Technology
22|N11375798474|18.5567516|73.8283360|Guest house
22|N11375798475|18.5571490|73.8273561|Department of physical education
22|N11375798476|18.5573503|73.8274106|Department of education
22|N11375798477|18.5566673|73.8273989|department of psychology
22|N11375798499|18.5569548|73.8263103|School of Open Learning, SPPU
22|N11375798502|18.5585252|73.8256101|Department of Sports
22|N11375798503|18.5594399|73.8256101|Inter University Centre for Astronomy and Astrophysics
22|N11375798504|18.5516812|73.8226376|Department of Electronic sciences
22|N11375798505|18.5568199|73.8263028|Interdisciplinary School of science
85|N11525188923|18.5636746|73.8135983|Trevega
85|N11561312662|18.5611379|73.8137736|Ramesh Dyeing
80|N11561312663|18.5609086|73.8135997|Siyaram's
80|N11561312664|18.5609461|73.8136320|Origins
22|W106617531|18.5532620|73.8246435|Pune University Main Building
22|W106617824|18.5517363|73.8237584|CDAC
21|W210343967|18.5544625|73.8183582|Kendriya Vidyalaya Ganeshkhind
40|W215732323|18.5398930|73.8347264|Yashwant Nagar Society
13|W218691368|18.5430294|73.8235043|Pune Rural Police Headquarters
15|W229849148|18.5401682|73.8218360|Loyola High School
131|W232879088|18.5484876|73.8380512|Football Ground
19|W235115299|18.5485516|73.8394372|Symbiosis Institute of Management Studies (SIMS)
5|W235115301|18.5482408|73.8391952|Main Girls Hostel
5|W235115302|18.5485695|73.8391214|New Girls Hostel
5|W235115304|18.5488931|73.8393407|Main Boys Hostel
6|W235115305|18.5491086|73.8394862|Guest House
5|W235115308|18.5496330|73.8397933|New Boys Hostel
9|W261258201|18.5605781|73.8142750|Aundh Fire Station
40|W264891322|18.5568242|73.8241240|University Ground
51|W265922891|18.5388967|73.8277013|Chaturshrungi Mandir
88|W281883248|18.5639721|73.8250880|Botanical Garden
19|W281883251|18.5636122|73.8194470|Spicer Adventist University
21|W281883252|18.5635456|73.8159508|Spicer Highschool
22|W291406597|18.5462742|73.8297951|Department of Microbiology
22|W328700810|18.5480245|73.8277031|Department of Commerce
51|W359567600|18.5606915|73.8382371|Kali Bari
85|W359705436|18.5433403|73.8364808|Laxmi General Store
21|W359723170|18.5562860|73.8142698|Sindhu Vidya Bhavan School
79|W359724710|18.5408299|73.8329475|Trinath Motors
29|W359727169|18.5630281|73.8168659|Maharashtra Restaurant
105|W359752437|18.5414055|73.8307135|City Mall
6|W359753176|18.5570524|73.8170006|Pichola
22|W359915394|18.5484155|73.8272711|Department of Geology Old Building
29|W359915456|18.5393196|73.8295852|RED SHRIMP RESTRO
22|W359927055|18.5487107|73.8243166|Botany Dept.
22|W359927057|18.5494932|73.8237329|Zoology Dept.
22|W359928180|18.5437716|73.8319100|VM Dayan Probodhini
22|W359937070|18.5555824|73.8237033|SPPU International Center
29|W359937407|18.5551647|73.8221927|Aadarsh canteen
11|W359937439|18.5465365|73.8247146|Astin Books
22|W365076281|18.5435668|73.8312389|Vaikunth Mehta National Institute of Cooperative Management
19|W380417661|18.5413635|73.8278917|Modern College
21|W402368938|18.5463917|73.8225636|YASHADA
13|W641670813|18.5461302|73.8257533|Chaturshringi Police Station
21|W641670814|18.5483975|73.8229997|Bal Kalyan Sanstha
5|W993387170|18.5508924|73.8285513|Girls' Hostel Pune University
88|W995110742|18.5525802|73.8273043|Alice Garden
14|W995120851|18.5544809|73.8269603|Ganeshkhind Post Office
22|W995138926|18.5513353|73.8261069|Savitribai Phule Pune University
88|W996818278|18.5440821|73.8283640|Chhatrapati Shivaji Garden
11|W1030062477|18.5502893|73.8231374|Jaykar library (SPPU)
21|W1030256746|18.5480135|73.8300806|Vidyapeeth school
29|W1030306415|18.5513016|73.8248099|Refectory canteen
22|W1030307470|18.5569093|73.8277059|Departmentn of Technology
22|W1030309127|18.5480594|73.8272906|Geography Department
